"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1415670_at","Copg1","54161","coatomer protein complex, subunit gamma 1",0.0712707165135784,7.9771883819303,0.351931795716943,0.730950897477767,0.920858762046439,-6.28114914014072
"2","1415673_at","Psph","100678","phosphoserine phosphatase",0.0112102788864314,6.52085528065955,0.0533486739596072,0.958325993668498,0.986261985879367,-6.34434522624655
"3","1415677_at","Dhrs1","52585","dehydrogenase/reductase (SDR family) member 1",-0.155907317320029,9.60982363280675,-0.852875976111984,0.410315938878757,0.766804470355697,-5.97530266948036
"4","1415688_at","Ube2g1","67128","ubiquitin-conjugating enzyme E2G 1",-0.108674126856341,9.84965382497345,-0.683347074935021,0.50727976591439,0.821767920044857,-6.10541597492759
"5","1415698_at","Golm1","105348","golgi membrane protein 1",0.491781246144446,6.11571781791015,3.19906149385684,0.00758521459715854,0.207496904319137,-2.49727598767764
"6","1415725_at","Rrn3","106298","RRN3 RNA polymerase I transcription factor homolog (yeast)",0.457940797829437,6.11428083562547,2.35042138980268,0.0365512061551255,0.339761009962912,-3.97237436606964
"7","1415757_at","Gbf1","107338","golgi-specific brefeldin A-resistance factor 1",-0.0579002925207899,7.61909854081831,-0.260824608530095,0.798619925704476,0.949250285809468,-6.31022333906532
"8","1415765_at","Hnrnpul2","68693","heterogeneous nuclear ribonucleoprotein U-like 2",-0.174701462394268,6.43841065539038,-0.99057351881885,0.341316440290812,0.713841466879946,-5.85108515947272
"9","1415773_at","Ncl","17975","nucleolin",-0.234263112191144,7.07543161035154,-0.647669259642063,0.529313115351017,0.833353852961756,-6.12944090554116
"10","1415776_at","Aldh3a2","11671","aldehyde dehydrogenase family 3, subfamily A2",-0.401811856466152,10.2043086275325,-1.72583669879652,0.109833364190017,0.484598843590355,-4.95290834669518
"11","1415777_at","Pnliprp1","18946","pancreatic lipase related protein 1",0.0425706330019988,3.89784451331053,0.0545953938234931,0.957353137461808,0.985597024708585,-6.34427458391125
"12","1415779_s_at","Actg1","11465","actin, gamma, cytoplasmic 1",-0.287685620161779,11.329413713464,-1.16646223871609,0.265934553825185,0.652361975918777,-5.66999530985361
"13","1415780_a_at","Armcx2","67416","armadillo repeat containing, X-linked 2",0.00734351232202268,5.63069124059997,0.0402506729291388,0.968550712514837,0.991207269207747,-6.34498880309133
"14","1415802_at","Slc16a1","20501","solute carrier family 16 (monocarboxylic acid transporters), member 1",0.469671462904227,9.95123937852057,2.65870935918457,0.0207366705556459,0.287833855230678,-3.44725291821308
"15","1415822_at","Scd2","20250","stearoyl-Coenzyme A desaturase 2",0.274502277996581,5.38524334263722,1.26437580078934,0.229940267040261,0.631990418452184,-5.55906616304486
"16","1415826_at","Atp6v1h","108664","ATPase, H+ transporting, lysosomal V1 subunit H",-0.159749267830978,9.48891092611331,-0.895210023540673,0.388160434155271,0.752350736012405,-5.93882802630504
"17","1415828_a_at","Serp1","28146","stress-associated endoplasmic reticulum protein 1",0.249039347149392,9.30912975269703,1.4704095863126,0.167005950049477,0.558312537172076,-5.30421925057446
"18","1415834_at","Dusp6","67603","dual specificity phosphatase 6",-0.285897704956181,10.0033112852888,-1.2161112865182,0.247166751525849,0.639689304142257,-5.61461172745053
"19","1415837_at","Klk1","16612","kallikrein 1",0.25500768268649,3.22986717954172,0.442753353749619,0.665766337054268,0.89801040811971,-6.24376337822661
"20","1415849_s_at","Stmn1","16765","stathmin 1",0.372123553612173,7.45303856020839,1.46914992483181,0.167341633846517,0.558312537172076,-5.30585973523634
"21","1415850_at","Rasa3","19414","RAS p21 protein activator 3",-0.357443951535222,6.30628138120277,-2.07088831136384,0.0604354242714837,0.387958694676053,-4.42851400654677
"22","1415853_at","Def8","23854","differentially expressed in FDCP 8",-0.28279439386667,7.7048998204271,-1.50452250213171,0.158130141213691,0.552292432183665,-5.25942972225899
"23","1415855_at","Kitl","17311","kit ligand",0.204242068267455,6.18253642868705,1.09470170416518,0.294989198572292,0.680970090236535,-5.74678997821511
"24","1415859_at","Eif3c","56347","eukaryotic translation initiation factor 3, subunit C",-0.0526741815645533,8.34815012852245,-0.261656321946589,0.797993402116999,0.949250285809468,-6.3099964939757
